TotalCharges,AvgChargePerMonth,tenure,MonthlyCharges,Contract_Month-to-month,OnlineSecurity_No,PaymentMethod_Electronic check,TechSupport_No,gender,PaperlessBilling,InternetService_Fiber optic,Partner,Contract_Two year,OnlineBackup_No,Dependents,Churn
29.85,14.925,1,29.85,1,1,1,1,0,1,0,1,0,0,0,0
1889.5,53.98571428571429,34,56.95,0,0,0,1,1,0,0,0,0,1,0,0
108.15,36.050000000000004,2,53.85,1,0,0,1,1,1,0,0,0,0,0,1
1840.75,40.016304347826086,45,42.3,0,0,0,0,1,0,0,0,0,1,0,0
151.65,50.550000000000004,2,70.7,1,1,1,1,0,1,1,0,0,1,0,1
820.5,91.16666666666667,8,99.65,1,1,1,1,0,1,1,0,0,1,0,1
1949.4,84.75652173913043,22,89.1,1,1,0,1,1,1,1,0,0,0,1,0
301.9,27.44545454545454,10,29.75,1,0,0,1,0,0,0,0,0,1,0,0
3046.05,105.03620689655173,28,104.8,1,1,1,0,0,1,1,1,0,1,0,1
3487.95,55.364285714285714,62,56.15,0,0,0,1,1,0,0,0,0,0,1,0
587.45,41.96071428571429,13,49.95,1,0,0,1,1,1,0,1,0,1,1,0
326.8,19.223529411764705,16,18.95,0,0,0,0,1,0,0,0,1,0,0,0
5681.1,96.28983050847458,58,100.35,0,1,0,1,1,0,1,1,0,1,0,0
5036.3,100.726,49,103.7,1,1,0,1,1,1,1,0,0,0,0,1
2686.05,103.3096153846154,25,105.5,1,0,1,0,1,1,1,0,0,1,0,0
7895.15,112.78785714285713,69,113.25,0,0,0,0,0,0,1,1,1,0,1,0
1022.95,19.300943396226415,52,20.65,0,0,0,0,0,0,0,0,0,0,0,0
7382.25,102.53125,71,106.7,0,0,0,1,1,0,1,0,1,1,1,0
528.35,48.03181818181818,10,55.2,1,1,0,0,0,0,0,1,0,1,1,1
1862.9,84.67727272727274,21,90.05,1,1,1,1,0,1,1,0,0,0,0,0
39.65,19.825,1,39.65,1,1,1,1,1,1,0,0,0,1,0,1
202.25,15.557692307692308,12,19.8,0,0,0,0,1,0,0,1,0,0,0,0
20.15,10.075,1,20.15,1,0,0,0,1,0,0,0,0,0,0,1
3505.1,59.40847457627118,58,59.9,0,1,0,0,0,1,0,1,1,0,0,0
2970.3,59.406000000000006,49,59.6,1,0,0,0,1,0,0,1,0,0,1,0
1530.6,49.37419354838709,30,55.3,1,0,0,1,0,1,0,0,0,0,0,0
4749.15,98.940625,47,99.35,1,1,1,1,1,1,1,1,0,0,1,1
30.2,15.1,1,30.2,1,1,1,1,1,0,0,1,0,0,1,1
6369.45,87.2527397260274,72,90.25,0,0,0,0,1,1,0,1,1,0,0,0
1093.1,60.727777777777774,17,64.7,1,1,0,1,0,1,0,0,0,1,1,1
6766.95,93.98541666666667,71,96.35,0,0,0,0,0,1,1,1,1,0,0,0
181.65,60.550000000000004,2,95.5,1,1,0,1,1,1,1,1,0,1,0,0
1874.45,66.94464285714285,27,66.15,0,0,0,0,0,0,0,1,0,0,1,0
20.2,10.1,1,20.2,1,0,0,0,1,0,0,0,0,0,0,0
45.25,22.625,1,45.25,1,1,0,1,1,0,0,0,0,1,0,0
7251.7,99.33835616438355,72,99.9,0,0,0,0,0,0,1,1,1,0,1,0
316.9,52.81666666666666,5,69.7,1,1,1,1,1,1,1,0,0,1,0,1
3548.3,75.49574468085106,46,74.8,1,1,0,1,0,1,1,0,0,1,0,0
3549.25,101.40714285714286,34,106.35,1,1,1,1,1,1,1,0,0,0,0,1
1105.4,92.11666666666667,11,97.85,1,1,0,1,0,1,1,0,0,1,0,1
475.7,43.24545454545454,10,49.55,0,1,0,1,1,0,0,1,0,0,1,0
4872.35,68.62464788732395,70,69.2,0,0,0,1,0,1,0,1,1,0,1,0
418.25,23.23611111111111,17,20.75,0,0,0,0,0,0,0,1,0,0,1,0
4861.45,75.96015625,63,79.85,0,0,0,0,0,1,0,0,1,0,0,0
981.45,70.10357142857143,13,76.2,1,0,1,0,0,1,0,1,0,0,0,0
3906.7,78.134,49,84.5,1,1,1,1,0,1,1,0,0,1,0,0
97.0,32.333333333333336,2,49.25,1,1,0,1,1,0,0,0,0,0,0,0
144.15,48.050000000000004,2,80.65,1,1,1,1,0,1,1,0,0,1,0,1
4217.8,79.5811320754717,52,79.75,0,0,0,0,1,1,0,0,1,1,0,0
4254.1,60.77285714285715,69,64.15,0,0,0,0,0,1,0,1,1,1,1,0
3838.75,87.24431818181819,43,90.25,1,1,1,1,0,1,1,0,0,0,0,0
1426.4,89.15,15,99.1,1,0,0,1,0,1,1,0,0,0,0,1
1752.65,67.40961538461539,25,69.5,1,0,0,0,0,1,0,1,0,1,0,0
